id,idiom,missing,order
int,string,string,string
1,何足挂齿,3,B
2,局促不安,4,I
3,愁眉不展,3,N
4,囫囵吞枣,4,G
5,反唇相讥,3,O
6,锦衣玉食,4,B
7,粗茶淡饭,3,I
8,病入膏肓,1,N
9,好高骛远,2,G
10,风流韵事,2,O
11,大放异彩,3,B
12,持之以恒,3,I
13,步步为营,4,N
14,宾至如归,4,G
15,精诚团结,1,O
16,悔不当初,4,B
17,害群之马,1,I
18,改头换面,2,N
19,大快朵颐,4,G
20,春风满面,3,O
21,不可就药,2,B
22,精疲力竭,1,I
23,光阴似箭,4,N
24,咄咄逼人,3,G
25,点石成金,2,O
26,吹毛求疵,3,B
27,处之泰然,4,I
28,成群结队,4,N
29,不速之客,1,G
30,半信半疑,4,O
31,噤若寒蝉,3,B
32,谨言慎行,1,I
33,绞尽脑汁,3,N
34,昏昏欲睡,3,G
35,华而不实,4,O
36,高谈阔论,3,B
37,负荆请罪,2,I
38,蜂拥而至,4,N
39,放荡不羁,4,G
40,独占鳌头,3,O
41,大刀阔斧,4,B
42,草菅人命,3,I
43,操之过急,3,N
44,重振旗鼓,2,G
45,鞠躬尽瘁,1,O
46,斤斤计较,1,B
47,接踵而至,3,I
48,剑拔弩张,4,N
49,胡说八道,3,G
50,耿耿于怀,1,O
51,改邪归正,2,B
52,分文不值,2,I
53,分道扬镳,4,N
54,东山再起,4,G
55,当机立断,3,O
56,不义之财,1,B
57,歌功颂德,2,I
58,道听途说,4,N
59,重出江湖,1,G
60,节衣缩食,1,O
61,接二连三,1,B
62,见义勇为,2,I
63,恍然大悟,2,N
64,欢欣鼓舞,3,G
65,画蛇添足,1,O
66,后患无穷,1,B
67,好吃懒做,3,I
68,海底捞针,2,N
69,光天化日,3,G
70,根深蒂固,1,O
71,甘之若饴,3,B
72,飞黄腾达,2,I
73,陈词滥调,2,N
74,仓皇失措,2,G
75,不谋而合,3,O
76,不劳无获,4,B
77,不动声色,1,I
78,鞭长莫及,3,N
79,竭尽所能,4,G
80,家财万贯,2,O
81,后会有期,1,B
82,后悔莫及,4,I
83,横行霸道,2,N
84,过眼云烟,3,G
85,沽名钓誉,3,O
86,动如脱兔,3,B
87,低声下气,4,I
88,充耳不闻,4,N
89,瞠目结舌,4,G
90,不假思索,1,O
91,不慌不忙,1,B
92,背道而驰,3,I
93,短兵相接,1,N
94,功败垂成,3,G
95,精神焕发,3,O
96,精神抖擞,2,B
97,节外生枝,2,I
98,娇生惯养,4,N
99,假公济私,4,G
100,回心转意,1,O
101,焕然一新,3,B
102,海市蜃楼,1,I
103,光明磊落,1,N
104,故弄玄虚,2,G
105,腹背受敌,3,O
106,浮生如梦,4,B
107,分秒必争,1,I
108,淡泊名利,1,N
109,打草惊蛇,3,G
110,出人头地,3,O
111,不有自主,2,B
112,不厌其烦,2,I
113,不声不响,3,N
114,暴跳如雷,4,G
115,白手起家,2,O
116,黯然失色,2,B
117,暗度陈仓,2,I
118,按部就班,3,N
119,按兵不动,1,G
120,肝胆相照,1,O
121,九牛一毛,3,B
122,精力充沛,2,I
123,惊天动地,4,N
124,脚踏实地,3,G
125,寄人篱下,2,O
126,化险为夷,1,B
127,后来居上,3,I
128,各显神通,2,N
129,付之一炬,1,G
130,耳目一新,1,O
131,恩将仇报,3,B
132,多才多艺,3,I
133,断章取义,2,N
134,等闲视之,3,G
135,大惊小怪,4,O
136,大功告成,4,B
137,措手不及,3,I
138,出尔反尔,1,N
139,沧海一粟,2,G
140,不翼而飞,1,O
141,不相上下,3,B
142,不屈不挠,3,I
143,不寒而栗,3,N
144,不辞而别,4,G
145,彬彬有礼,2,O
146,安于现状,2,B
147,安然无恙,1,I
148,并驾齐驱,3,N
149,饥肠辘辘,4,G
150,火上加油,3,O
151,花枝招展,2,B
152,虎视眈眈,3,I
153,厚此薄彼,2,N
154,甘拜下风,3,G
155,尔虞我诈,1,O
156,东窗事发,3,B
157,得意忘形,3,I
158,大智如愚,3,N
159,大言不惭,3,G
160,大同小异,4,O
161,大吃一惊,3,B
162,唇枪舌战,4,I
163,垂涎三尺,2,N
164,嗤之以鼻,4,G
165,不伦不类,3,O
166,暗箭伤人,3,B
167,旧瓶新酒,2,I
168,骄兵必败,1,N
169,家喻户晓,4,G
170,既往不咎,1,O
171,集思广益,4,B
172,发愤图强,1,I
173,睹物思人,4,N
174,登峰造极,4,G
175,恻隐之心,4,O
176,不可一世,3,B
177,捷足先登,4,I
178,驾轻就熟,2,N
179,怀才不遇,3,G
180,和蔼可亲,2,O
181,过河拆桥,2,B
182,多事之秋,4,I
183,颠倒是非,4,N
184,踌躇满志,4,G
185,不自量力,3,O
186,不偏不倚,1,B
187,勃然大怒,2,I
188,避重就轻,1,N
189,敝帚自珍,1,G
190,出类拔萃,1,O
191,举棋不定,3,B
192,久别情疏,1,I
193,滚瓜烂熟,2,N
194,精打细算,2,G
195,进退维谷,4,O
196,家徒四壁,3,B
197,急中生智,4,I
198,浑水摸鱼,2,N
199,欢天喜地,1,G
200,恩威并施,3,O
201,乘风破浪,4,B
202,比比皆是,3,I
203,半斤八两,1,N
204,虎头蛇尾,3,G
205,风尘仆仆,4,O
206,奋身不顾,1,B
207,八面玲珑,4,I
208,患得患失,1,N
209,哗众取宠,2,G
210,返老还童,2,O
211,得天独厚,2,B
212,大权在握,1,I
213,遍体鳞伤,1,N
214,将计就计,4,G
215,格格不入,1,O
216,痴心妄想,4,B
217,草木皆兵,3,I
218,捕风捉影,3,N
219,变幻莫测,3,G
220,安分守己,4,O
221,金玉良言,3,B
222,覆水难收,1,I
223,夫唱妇随,1,N
224,颠沛流离,4,G
225,大惊失测,2,O
226,不知好歹,4,B
227,不遗余力,1,I
228,祸不单行,4,N
229,过目不忘,1,G
230,防范未然,3,O
231,打抱不平,1,B
232,惊弓之鸟,2,I
233,九死一生,1,N
234,津津乐道,4,G
235,教学相长,3,O
236,大海捞针,2,B
237,趁热打铁,4,I
238,薄利多销,3,N
239,供不应求,4,G
240,得不偿失,2,O
241,不耻下问,3,B
242,本末倒置,2,I
243,调虎离山,2,N
244,高枕无忧,4,G
245,釜底抽薪,4,O
246,得心应手,4,B
247,从善如流,3,I
248,祸从口出,4,N
249,盖棺定论,2,G
250,发自肺腑,4,O
251,独善其身,1,B
252,积少成多,3,I
253,三心二意,1,N
254,姑息养奸,2,G
255,分身乏术,2,O
256,不负众望,4,B
257,趁火打劫,2,I
258,挥金如土,4,N
259,鹤立鸡群,3,G
260,迥然不同,4,O
261,过街老鼠,3,B
262,东施效颦,4,I
263,出口成章,3,N
264,狡兔三窟,1,G
265,苟延残喘,2,O
266,居安思危,3,B
267,饥不择食,2,I
268,集腋成裘,1,N
269,急功近利,3,G
270,大器晚成,2,O
271,精益求精,4,B
272,孤陋寡闻,4,I
273,滴水石穿,4,N
274,班门弄斧,2,G
275,劫富济贫,1,O
276,不识抬举,2,B
277,宝刀未老,3,I
278,耳濡目染,1,N
279,道貌岸然,3,G
280,顾此失彼,3,O